Username	Answer
atypaldo	"The good: I really enjoy that this class is very active. We don't only have to listen, but we have to do. We learn while actively doing examples with the professor. I also really like the video assignments. It really makes me retain the week's information of what we learned in class.    The bad: What I think maybe needs more improvement from this class is the pacing of this class. I think sometimes some students get confused because it gets too fast, or changes of topics quite rapidly.   The wishlist:  -the codes we work on better explained -providing a roadmap to work on the code better -a five minute recap of last class each class -a short common-errors debrief before working on code   Feedback (own words): I think this is a very well structured class. I don't have many bad things to say about it. I really like how different and effective the learning is in this class. Besides that, I would only really implement a 1-5 minute recap of the last class at the begging of class for better understanding of students."
ueki	I personally like the fact that we don't have exams and have video submissions or project instead. Sometimes I do feel that the feedback i'm getting on these assignments aren't clear because it doesn't tell me much about how I can possibly improve.   I wish we had a little more structure and instructions for our projects in terms of what it is that you are looking for each time outside of what is already there in the textbook which can be very vague at times.
vcuk	"So far, this course has been going smooth for me, and you have done a good job of teaching effectively. At the beginning of this course, I was worried that this course would be one of my biggest struggles, but it has turned out to be one of the classes where I am doing good on. As for the negatives about this course, I don't really have anything so far. Everything has been going well for me personally."
valencc	What I enjoy about the class is the use of AI. I believe it is not a tool that should be tossed to the side just because of how some students may abuse it.
velasqul	I am not sure how I feel about everything being AI. I think it would be beneficial to use the actual textbook in addition to driver method.
dveracht	"I have enjoyed this class so far.  I feel that you have gone over the basics well, but in the syllabus it says we will learn financial model and valuation.  I would like to get more in depth on these topics.  Additionally I would like to learn more independently rather than using AI because I feel as though that hinders my own learning.  I cannot always depend on AI to do my work for me.  I do appreciate the AI when it comes to coding and it is helpful as an assistant, but  over using it stops me from really absorbing the information."
vigm	"I think class is entertaining and I like the way we are learning. However, I wished that we had more projects in class rather than the videos. I feel like projects and simulations help me learn better."
vigm	I like this class as it is very entertaining and interesting; however I wish there were group projects.
vogt14	"-Good : very engaging, work and ideas seem useful to be learning for current day work force.  Professor seems actually interested in what he is teaching. -Bad : maybe a little too fast paced sometimes, hard to follow along.   -Overall pretty enjoyable class, engaging and relevant content.  I wish the class was not so late in the day though."
wang5687	"I really enjoyed this class because the instructor's teaching style was innovative, and the assignments allowed me to explore data on my own and further my learning. It also provided a platform for case competitions. I think the class could be improved if the instructor could be more user-friendly for finance beginners, perhaps organizing essential concepts into slides. Overall, I really enjoyed this class. I hope that when I see financial statements in the workplace, I will be able to have my own thoughts."
wayse	"With the rise of AI I appreciate this class greatly for getting me started with learning how to use it as a tool rather than a crutch. This is the first class that has taught me how to prompt the AI and how to potentially use it in my finance career. Furthermore, the feedback I receive in this class is incredibly helpful and detailed and I am able to try and improve my videos for the next submission.  On the other hand, I think one thing that can be improved on is communication on what is due for the videos, however, this is on the textbook and it has the exact sections we need to complete. Therefore, I think in the first couple of days of class and in the syllabus this should be made clear.  In this class I wish we would go more in depth in the coding aspect of Gemini. By this I mean explaining more of what Gemini is creating rather than just believing what he is doing is correct."
cweinza	"- I think you do a good job of keeping us engaged. The content is more interesting since the teaching method is so unique, which is something I can appreciate. This is definitely unlike any other course I have taken which requires me to get more practice with critical thinking. I also enjoy that you lean into the use of ai rather than being against it. I feel like I have gotten better at using ai and have learned new ways to use it.    The class can be hard to follow along at times. I often struggle understanding the end goal of something we are doing / the reason why we are talking about something.  There are things that I don't like because they are difficult, but looking back, I do think this has helped me learn more and think more on my own. I think I would prefer some clarity when it comes to topics or homework assignments.    - As said previously, I wish you would outline a few more details of what you are looking for in the homework assignments before we start the lesson so we know what we should be getting out of the lectures.    - I think a lot of people might have negative things to say about this class, just because the format is so different than what we are used to as students. We have been told to never use ai, then come to this class and ai is the backbone of it. I actually think it has been helpful for me so far. At the end of the semester, I think all of the students will be better using ai and using critical thinking. Critical thinking has been my main takeaway of this course, which I know is what you want. I am teaching myself how to better problem solve. While the class may be confusing at times, I ultimately think the challenge will be beneficial to all of the students. We are learning how to figure things out for ourselves."
white977	"I enjoy filming the youtube videos for homework, and think it is innovative. I also enjoy the coursework, but I wish we could explore each lesson in more detail during class. Overall, I enjoy the class, and don't think too much should be changed, but the one piece of advice I have is to take more time in class diving into topics in different sessions."
swickstr	"- I see that the material we are learning in this course is very useful and could be crucial to learn for future employment. I'm glad that I'm learning how to use AI to my advantage rather than be worried about its ""takeover"" in the workplace.  - I've had no prior experience with coding and minimal with AI, so it's been a bit of learning curve in that regard. I've also not had as interactive of a class before, so that has been a bit different for me too... getting me out of my comfort zone I suppose :) - There's nothing I'm really ""wishing"" for - I hope to continue to learn practical uses of AI for my future."
iwish	The class is good and the projects help build my understanding in financial management.
wu2053	"Good: I think it's nice to get a lot of opportunity to use AI to help solve the problem and combine with class content. Using AI not only help us understand the contents better, but also with better efficiency.   Bad: Sometimes the class can be a little too much on explaining things and get a little boring, maybe we could just do more and talk less. Also, some contents are too complicated and not really explained clearly.    The wish list: None for now   Feedback: I think the class used a lot of AI with finance and it's cool, but I don't really know what I learned because the contents kind of jump around. Maybe it's my opinion but maybe should be more structured."
jyoungwo	"1. I really like how this course is very interactive. I feel engaged every day when I attend class and feel like what I am learning actually matters. I also think the Weekly Video Assignments allow for a good sense of reflection on each unit and the topics covered. They help me think about and actually apply what I have been learning.    2. In regards to a wish-list, I wish that in-class periods were a little more focused on the financial concepts as well as the AI implications. I appreciate that the class is very AI focused, I just wish that while we are in-class, we spend a little bit more time learning about the financial concepts and ratios that this class is about.    3. Overall, I am really enjoying MGMT 310. I like the engaging aspect of the lectures, and find what I am learning about AI and technology to be important right now as well for my future career. I just think we should be spending a little bit more time on the finance as opposed to the AI, as I think it will also be helpful in my career."
zhao1398	"Good: obviously no test and quizzes, which relieved a lot of stress, especially during testing weeks. But besides that, I found my self actually appreciating the freedom given to complete each assignment, I found that I could learn better when I follow my own train of thoughts.    Bad: somethings the new form of learning made me feel incapable of doing, questions such as ""can I really do this well"" or ""am I really doing this right"" were asked to myself. But fortunately I have some study buddies in this class and we all helped each other a lot when it comes to how to record this video, how to generate subtitles, how replit works, etc. So overall I found this class to be moderately challenging but manageable.    Wish list: maybe post some student assignments that got really good grades so that we have an idea of what to aim for? don't know it that'll lead to everyone submitting similar products, but sometimes the grading rubric can be vague."
kzylstr	"This class has provided a good framework for various financial analyses, such as time value of money and profitability of a company. It would be helpful if the instructions for the WVAs were clearer before the first assignment. I feel like I now have clear direction on how to complete these assignments well, but it was pretty confusing at first."
